"Source","Min.same","Min.diff","Location","Strain","Isolate","state"
"water",9,20,"USA","RM52442","PDT000689397.1","CA"
"water",24,28,"USA","RM52441","PDT000689400.1","CA"
"water",1,29,"USA","RM52440","PDT000689401.1","CA"
"water",0,6,"USA","RM52427","PDT000689402.1","CA"
"water",6,21,"USA","RM52429","PDT000689403.1","CA"
"water",2,27,"USA","RM19406","PDT000689404.1","CA"
"water",9,15,"USA","RM20271","PDT000689406.1","CA"
"water",0,15,"USA","RM19788","PDT000689408.1","CA"
"water",1,23,"USA","RM19413","PDT000689410.1","CA"
"water",1,9,"USA","RM20262","PDT000689411.1","CA"
"water",36,19,"USA","RM19404","PDT000689414.1","CA"
"water",0,31,"USA","RM19405","PDT000689415.1","CA"
"water",22,25,"USA","RM20270","PDT000689416.1","CA"
"water",7,8,"USA","RM20272","PDT000689417.1","CA"
"water",3,2,"USA","RM19780","PDT000689420.1","CA"
"water",3,31,"USA","RM19782","PDT000689421.1","CA"
"water",18,19,"USA","RM19781","PDT000689422.1","CA"
"water",0,16,"USA","RM19759","PDT000689425.1","CA"
"water",7,10,"USA","RM19798","PDT000689426.1","CA"
"water",0,11,"USA","RM19786","PDT000689427.1","CA"
"water",0,5,"USA","RM19787","PDT000689428.1","CA"
"water",10,12,"USA","RM19797","PDT000689429.1","CA"
"water",3,37,"USA","RM20361","PDT000689430.1","CA"
"water",2,22,"USA","RM19795","PDT000689431.1","CA"
"water",8,8,"USA","RM20325","PDT000689432.1","CA"
"water",3,26,"USA","RM19796","PDT000689433.1","CA"
"water",2,25,"USA","RM20324","PDT000689434.1","CA"
"water",0,22,"USA","RM20323","PDT000689435.1","CA"
"water",2,19,"USA","RM20314","PDT000689436.1","CA"
"water",24,32,"USA","RM19415","PDT000689437.1","CA"
"water",0,15,"USA","RM19410","PDT000689438.1","CA"
"water",7,7,"USA","RM19784","PDT000689441.1","CA"
"water",1,23,"USA","RM19416","PDT000689442.1","CA"
"water",12,15,"USA","RM19790","PDT000689444.1","CA"
"water",0,16,"USA","RM19778","PDT000689447.1","CA"
"water",1,13,"USA","RM19421","PDT000689448.1","CA"
"water",1,21,"USA","RM19779","PDT000689449.1","CA"
"water",0,15,"USA","RM19789","PDT000689451.1","CA"
"water",2,25,"USA","RM19783","PDT000689453.1","CA"
"water",5,7,"USA","RM19995","PDT000689454.1","CA"
"water",4,26,"USA","RM20018","PDT000689455.1","CA"
"water",1,26,"USA","RM19965","PDT000689456.1","CA"
"water",13,13,"USA","RM19966","PDT000689458.1","CA"
"water",12,42,"USA","RM19991","PDT000689459.1","CA"
"water",1,20,"USA","RM19934","PDT000689460.1","CA"
"water",0,10,"USA","RM20003","PDT000689461.1","CA"
"water",0,17,"USA","RM19958","PDT000689464.1","CA"
"water",0,7,"USA","RM19956","PDT000689465.1","CA"
"water",0,7,"USA","RM19955","PDT000689466.1","CA"
"water",3,3,"USA","RM20233","PDT000689468.1","CA"
"water",0,7,"USA","RM19960","PDT000689470.1","CA"
"water",1,12,"USA","RM19962","PDT000689472.1","CA"
"water",6,40,"USA","RM20002","PDT000689473.1","CA"
"water",27,30,"USA","RM52460","PDT000689475.1","CA"
"water",5,33,"USA","RM19980","PDT000689476.1","CA"
"water",14,12,"USA","RM52434","PDT000689477.1","CA"
"water",1,7,"USA","RM52452","PDT000689478.1","CA"
"water",24,27,"USA","RM19976","PDT000689479.1","CA"
"water",1,13,"USA","RM52432","PDT000689480.1","CA"
"water",0,6,"USA","RM20281","PDT000689481.1","CA"
"water",1,5,"USA","RM20331","PDT000689482.1","CA"
"water",5,26,"USA","RM20280","PDT000689484.1","CA"
"water",15,10,"USA","RM52431","PDT000689485.1","CA"
"water",2,9,"USA","RM19982","PDT000689487.1","CA"
"water",10,11,"USA","RM20332","PDT000689489.1","CA"
"water",1,30,"USA","RM52461","PDT000689490.1","CA"
"water",0,22,"USA","RM20001","PDT000689492.1","CA"
"water",1,2,"USA","RM19998","PDT000689493.1","CA"
"water",6,8,"USA","RM52436","PDT000689494.1","CA"
"water",2,32,"USA","RM19979","PDT000689495.1","CA"
"water",7,37,"USA","RM20333","PDT000689496.1","CA"
"water",0,9,"USA","RM52411","PDT000689498.1","CA"
"water",2,20,"USA","RM20337","PDT000689499.1","CA"
"water",11,18,"USA","RM20004","PDT000689500.1","CA"
"water",4,14,"USA","RM20005","PDT000689501.1","CA"
"water",1,12,"USA","RM19981","PDT000689502.1","CA"
"water",4,4,"USA","RM52412","PDT000689503.1","CA"
"water",3,24,"USA","RM19984","PDT000689506.1","CA"
"water",2,8,"USA","RM52437","PDT000689507.1","CA"
"water",9,33,"USA","RM52439","PDT000689508.1","CA"
"water",3,5,"USA","RM20160","PDT000689509.1","CA"
"water",0,9,"USA","RM20286","PDT000689510.1","CA"
"water",3,9,"USA","RM52444","PDT000689511.1","CA"
"water",2,9,"USA","RM20285","PDT000689512.1","CA"
"water",1,19,"USA","RM20158","PDT000689513.1","CA"
"water",3,16,"USA","RM20143","PDT000689514.1","CA"
"water",6,34,"USA","RM20283","PDT000689515.1","CA"
"water",0,8,"USA","CFSAN078537","PDT000689516.1","CA"
"water",0,20,"USA","RM19943","PDT000689518.1","CA"
"water",19,9,"USA","RM20303","PDT000689520.1","CA"
"water",4,17,"USA","RM19985","PDT000689521.1","CA"
"water",2,24,"USA","RM20308","PDT000689522.1","CA"
"water",22,22,"USA","RM52446","PDT000689523.1","CA"
"water",20,27,"USA","RM19987","PDT000689524.1","CA"
"water",2,36,"USA","RM20309","PDT000689525.1","CA"
"water",11,20,"USA","RM52438","PDT000689527.1","CA"
"water",0,14,"USA","RM52447","PDT000689528.1","CA"
"water",0,22,"USA","RM20157","PDT000689529.1","CA"
"water",3,13,"USA","RM20310","PDT000689531.1","CA"
"water",6,5,"USA","RM20155","PDT000689533.1","CA"
"water",3,28,"USA","RM20279","PDT000689534.1","CA"
"water",1,19,"USA","RM20278","PDT000689535.1","CA"
"water",0,11,"USA","RM19971","PDT000689536.1","CA"
"water",3,20,"USA","RM20156","PDT000689538.1","CA"
"water",20,27,"USA","RM20305","PDT000689539.1","CA"
"water",7,23,"USA","RM19974","PDT000689540.1","CA"
"water",14,34,"USA","RM20304","PDT000689541.1","CA"
"water",1,23,"USA","RM20290","PDT000689542.1","CA"
"water",1,21,"USA","RM19993","PDT000689543.1","CA"
"water",0,8,"USA","RM20287","PDT000689548.1","CA"
"water",0,8,"USA","RM19953","PDT000689549.1","CA"
"water",0,17,"USA","RM20306","PDT000689550.1","CA"
"water",10,6,"USA","RM19994","PDT000689551.1","CA"
"water",2,18,"USA","RM20292","PDT000689554.1","CA"
"water",1,23,"USA","RM20291","PDT000689555.1","CA"
"water",11,17,"USA","RM19990","PDT000689556.1","CA"
"water",26,28,"USA","RM19948","PDT000689558.1","CA"
"water",10,13,"USA","RM20284","PDT000689560.1","CA"
"water",0,18,"USA","RM20354","PDT000689561.1","CA"
"water",10,34,"USA","RM20355","PDT000689563.1","CA"
"water",12,12,"USA","RM19989","PDT000689564.1","CA"
"water",2,14,"USA","RM20343","PDT000689565.1","CA"
"water",3,15,"USA","RM19997","PDT000689566.1","CA"
"water",10,26,"USA","RM19937","PDT000689567.1","CA"
"water",2,12,"USA","RM20342","PDT000689568.1","CA"
"water",4,4,"USA","RM20296","PDT000689569.1","CA"
"water",1,20,"USA","RM19992","PDT000689570.1","CA"
"water",20,34,"USA","RM19938","PDT000689571.1","CA"
"water",7,9,"USA","RM20295","PDT000689572.1","CA"
"water",0,6,"USA","RM20352","PDT000689574.1","CA"
"water",1,14,"USA","RM20294","PDT000689576.1","CA"
"water",9,25,"USA","RM20347","PDT000689577.1","CA"
"water",5,26,"USA","RM19996","PDT000689578.1","CA"
"water",1,20,"USA","RM20293","PDT000689580.1","CA"
"water",12,17,"USA","RM20226","PDT000689582.1","CA"
"water",14,26,"USA","RM20091","PDT000689584.1","CA"
"water",1,18,"USA","RM52401","PDT000689585.1","CA"
"water",2,19,"USA","RM20053","PDT000689586.1","CA"
"water",7,30,"USA","RM20225","PDT000689588.1","CA"
"water",2,12,"USA","RM20228","PDT000689589.1","CA"
"water",0,9,"USA","RM20227","PDT000689592.1","CA"
"water",24,20,"USA","RM20268","PDT000689594.1","CA"
"water",0,10,"USA","RM20209","PDT000689595.1","CA"
"water",3,31,"USA","RM20208","PDT000689596.1","CA"
"water",15,19,"USA","RM20176","PDT000689597.1","CA"
"water",0,12,"USA","RM20092","PDT000689598.1","CA"
"water",10,25,"USA","RM20253","PDT000689599.1","CA"
"water",0,14,"USA","RM52477","PDT000689600.1","CA"
"water",20,25,"USA","RM20207","PDT000689601.1","CA"
"water",36,33,"USA","RM52422","PDT000689602.1","CA"
"water",1,31,"USA","RM20252","PDT000689603.1","CA"
"water",0,11,"USA","RM19935","PDT000689604.1","CA"
"water",0,7,"USA","RM20074","PDT000689605.1","CA"
"water",2,13,"USA","RM20251","PDT000689606.1","CA"
"water",22,21,"USA","RM52423","PDT000689607.1","CA"
"water",4,10,"USA","RM20250","PDT000689608.1","CA"
"water",3,25,"USA","RM20213","PDT000689610.1","CA"
"water",2,19,"USA","RM20090","PDT000689614.1","CA"
"water",1,21,"USA","RM20235","PDT000689616.1","CA"
"water",23,21,"USA","RM19400","PDT000689619.1","CA"
"water",14,34,"USA","RM20353","PDT000689620.1","CA"
"water",26,31,"USA","RM52456","PDT000689621.1","CA"
"water",11,11,"USA","RM19403","PDT000689622.1","CA"
"water",2,14,"USA","RM20338","PDT000689623.1","CA"
"water",22,14,"USA","RM20179","PDT000689626.1","CA"
"water",14,30,"USA","RM20334","PDT000689627.1","CA"
"water",20,18,"USA","RM19401","PDT000689628.1","CA"
"water",0,6,"USA","RM20178","PDT000689629.1","CA"
"water",3,27,"USA","RM20033","PDT000689630.1","CA"
"water",9,9,"USA","RM52453","PDT000689631.1","CA"
"water",0,20,"USA","RM20205","PDT000689632.1","CA"
"water",11,11,"USA","RM52455","PDT000689633.1","CA"
"water",3,9,"USA","RM16553","PDT000688944.1","CA"
"water",7,28,"USA","RM16555","PDT000688945.1","CA"
"water",11,16,"USA","RM20316","PDT000688951.1","CA"
"water",3,15,"USA","RM19430","PDT000688956.1","CA"
"water",10,16,"USA","RM19433","PDT000688958.1","CA"
"water",5,32,"USA","RM19792","PDT000688970.1","CA"
"water",15,33,"USA","RM20311","PDT000688971.1","CA"
"water",5,26,"USA","RM19800","PDT000688972.1","CA"
"water",16,27,"USA","RM19802","PDT000688973.1","CA"
"water",0,15,"USA","RM19399","PDT000688974.1","CA"
"water",19,24,"USA","RM20317","PDT000688975.1","CA"
"water",0,23,"USA","RM19793","PDT000688976.1","CA"
"water",0,20,"USA","RM19429","PDT000688977.1","CA"
"water",1,15,"USA","RM20276","PDT000688978.1","CA"
"water",2,19,"USA","RM19801","PDT000688979.1","CA"
"water",3,8,"USA","RM19434","PDT000688980.1","CA"
"water",0,19,"USA","RM19803","PDT000688982.1","CA"
"water",36,36,"USA","RM19794","PDT000688984.1","CA"
"water",0,11,"USA","RM19805","PDT000688985.1","CA"
"water",19,8,"USA","RM19398","PDT000688989.1","CA"
"water",24,31,"USA","RM19423","PDT000688990.1","CA"
"water",3,19,"USA","RM19424","PDT000688991.1","CA"
"water",2,12,"USA","RM20349","PDT000688992.1","CA"
"water",3,21,"USA","RM20348","PDT000688993.1","CA"
"water",1,5,"USA","RM19775","PDT000688994.1","CA"
"water",1,21,"USA","RM20318","PDT000688998.1","CA"
"water",32,38,"USA","RM20359","PDT000688999.1","CA"
"water",7,34,"USA","RM20301","PDT000689013.1","CA"
"water",4,6,"USA","RM20300","PDT000689014.1","CA"
"water",1,19,"USA","RM20357","PDT000689015.1","CA"
"water",1,1,"USA","RM20350","PDT000689016.1","CA"
"water",7,5,"USA","RM19806","PDT000689018.1","CA"
"water",2,25,"USA","RM19804","PDT000689019.1","CA"
"water",8,11,"USA","RM20312","PDT000689020.1","CA"
"water",9,9,"USA","RM20351","PDT000689021.1","CA"
"water",8,13,"USA","RM20298","PDT000689024.1","CA"
"water",11,14,"USA","RM20104","PDT000689025.1","CA"
"water",0,10,"USA","RM20200","PDT000689026.1","CA"
"water",2,18,"USA","RM20080","PDT000689027.1","CA"
"water",1,17,"USA","RM20102","PDT000689028.1","CA"
"water",1,23,"USA","RM20081","PDT000689029.1","CA"
"water",1,18,"USA","RM20199","PDT000689030.1","CA"
"water",1,28,"USA","RM20082","PDT000689031.1","CA"
"water",9,9,"USA","RM20059","PDT000689032.1","CA"
"water",15,20,"USA","RM20060","PDT000689033.1","CA"
"water",12,18,"USA","RM20061","PDT000689034.1","CA"
"water",0,22,"USA","RM20101","PDT000689035.1","CA"
"water",1,24,"USA","RM20064","PDT000689046.1","CA"
"water",0,18,"USA","RM20198","PDT000689047.1","CA"
"water",29,24,"USA","RM20111","PDT000689053.1","CA"
"water",4,11,"USA","RM19945","PDT000689054.1","CA"
"water",0,9,"USA","FSL S6-0134","PDT000774477.1","NY"
"fish",0,14,"USA","FLAG_62902","PDT000781295.1","FL"
"fish",0,15,"USA","FLAG_62901","PDT000781298.1","FL"
"fish",2,15,"USA","FLAG_62903","PDT000781300.1","FL"
"water",22,19,"USA","FSL F3-0053","PDT000784033.1","VT"
"avocado",9,10,"USA","CFSAN106429","PDT000801499.1","WI"
"water",1,4,"USA","FSL H4-0291","PDT000842982.1","NY"
"water",1,29,"USA","FSL N3-0094","PDT000856055.1","NY"
"water",16,18,"USA","FSL N4-0034","PDT000889123.1","NY"
"water",28,40,"USA","FSL N4-0045","PDT000889679.1","NY"
"avocado",3,23,"USA","CFSAN107826","PDT000892484.1","WI"
"avocado",5,30,"USA","CFSAN107820","PDT000892508.1","AZ"
"avocado",5,29,"USA","CFSAN107823","PDT000892546.1","AZ"
"avocado",25,29,"USA","CFSAN107829","PDT000892602.1","WI"
"beef",1,1,"USA","PNUSAL009096","PDT000968268.1","NY"
"pork",2,24,"USA","FDA203883 2-2","PDT000989669.1","CA"
"beef",1,23,"USA","FDA231953 E","PDT000989693.3","CA"
"beef",3,26,"USA","FDA231955 A","PDT000989694.1","CA"
"dairy",0,0,"USA","FDA1122113-S002-001","PDT000996107.1","NJ"
"dairy",1,0,"USA","FDA1122113-S001-001","PDT000996138.1","NJ"
"pork",0,31,"USA","VA-WGS-00430","PDT000052284.2","NC"
"beef",0,21,"USA","CFSAN030482","PDT000052657.2","TX"
"beef",0,21,"USA","CFSAN030483","PDT000052658.2","TX"
"beef",2,21,"USA","CFSAN030484","PDT000052659.2","TX"
"beef",2,21,"USA","CFSAN030485","PDT000052660.2","TX"
"beef",0,21,"USA","CFSAN030486","PDT000052661.2","TX"
"dairy",0,14,"USA","CFSAN030682","PDT000052676.2","KS"
"dairy",0,14,"USA","CFSAN030676","PDT000052677.2","KS"
"dairy",0,14,"USA","CFSAN030678","PDT000052678.2","KS"
"dairy",0,14,"USA","CFSAN030679","PDT000052679.2","KS"
"dairy",0,14,"USA","CFSAN030684","PDT000052680.2","KS"
"dairy",1,15,"USA","KS-15037-11","PDT000052681.2","KS"
"dairy",0,14,"USA","CFSAN030687","PDT000052682.2","KS"
"dairy",5,19,"USA","KS-15037-2","PDT000052683.2","KS"
"dairy",0,14,"USA","CFSAN030680","PDT000052684.2","KS"
"dairy",1,15,"USA","CFSAN030681","PDT000052685.2","KS"
"dairy",1,15,"USA","CFSAN030683","PDT000052686.2","KS"
"dairy",2,16,"USA","CFSAN030685","PDT000052687.2","KS"
"avocado",12,15,"USA","VA-WGS-00289","PDT000054737.2","VA"
"fish",0,7,"USA","CFSAN028674","PDT000060018.2","CA"
"pork",1,21,"USA","CFSAN030473","PDT000060132.2","IL"
"dairy",0,17,"USA","FDA882740-9-A RLM","PDT000060453.2","OK"
"dairy",0,14,"USA","FDA882740-8-A RLM","PDT000060467.2","OK"
"dairy",0,14,"USA","FDA882740-7-A RLM","PDT000060474.2","OK"
"dairy",0,15,"USA","FDA882740-8-A PALCAM","PDT000060482.2","OK"
"dairy",0,14,"USA","FDA882740-7-A PALCAM","PDT000060493.2","OK"
"dairy",0,19,"USA","FDA882740-9-A PALCAM","PDT000060494.2","OK"
"dairy",0,4,"USA","FDA867058-2","PDT000060517.2","FL"
"dairy",0,4,"USA","FDA867058-1","PDT000060524.2","FL"
"chicken",0,29,"USA","15MN00076","PDT000062480.2","MI"
"chicken",0,29,"USA","15MN00075","PDT000062513.2","MI"
"beans",0,0,"USA","VA-WGS-00423","PDT000062991.2","VA"
"beans",1,1,"USA","FDA835095 2-4","PDT000049528.2","IL"
"pork",0,0,"USA","15MN00048","PDT000049823.2","MN"
"dairy",5,7,"USA","FDA435294-1","PDT000047968.3","USA"
"dairy",1,9,"USA","FDA435294-2","PDT000047999.3","USA"
"fish",0,2,"USA","FDA879056-1-1","PDT000050273.2","CA"
"chicken",2,31,"USA","CFSAN029608","PDT000050634.2","GA"
"beef",7,42,"USA","CFSAN029617","PDT000050639.2","TX"
"fish",1,6,"USA","CFSAN028673","PDT000060379.2","CA"
"pork",0,0,"USA","15MN00049","PDT000049841.2","MN"
"pork",23,27,"USA","CFSAN028531","PDT000049903.2","NJ"
"chicken",1,1,"USA","CFSAN028535","PDT000049920.2","MA"
"pork",1,11,"USA","CFSAN028545","PDT000049935.2","FL"
"dairy",2,2,"USA","FLAG-83153","PDT000107304.2","FL"
"fish",4,7,"USA","FLAG-82946","PDT000107311.2","FL"
"beef",2,10,"USA","FLAG-01013","PDT000107353.2","FL"
"fish",0,6,"USA","FLAG-01269","PDT000107355.2","FL"
"fish",0,6,"USA","FLAG-01270","PDT000107356.2","FL"
"fish",0,6,"USA","FLAG-01271","PDT000107357.2","FL"
"fish",3,23,"USA","FLAG-84988","PDT000107447.2","FL"
"chicken",0,11,"USA","FLAG-81515","PDT000107452.2","FL"
"dairy",0,23,"USA","FDA662732-2","PDT000108045.2","USA"
"dairy",0,23,"USA","FDA662732-1","PDT000108046.2","USA"
"dairy",1,24,"USA","FDA662731-2","PDT000108047.2","USA"
"dairy",0,23,"USA","FDA662731-1","PDT000108048.2","USA"
"chicken",0,11,"USA","FLAG-78223","PDT000108264.2","FL"
"chicken",5,5,"USA","FLAG-86576","PDT000108267.2","FL"
"chicken",3,3,"USA","FLAG-86577","PDT000108268.2","FL"
"chicken",1,1,"USA","FLAG-86578","PDT000108273.2","FL"
"chicken",0,27,"USA","FLAG-64733","PDT000110615.2","FL"
"pork",2,28,"USA","FLAG-84734","PDT000110731.8","FL"
"dairy",30,33,"USA","ARS-CC9231","PDT000110798.2","VT"
"dairy",1,1,"USA","WAPHL_LIS_A00010","PDT000103525.2","WA"
"dairy",2,6,"USA","WAPHL_LIS_A00012","PDT000103526.2","WA"
"dairy",1,4,"USA","WAPHL_LIS_A00014","PDT000103527.2","WA"
"dairy",0,5,"USA","WAPHL_LIS_A00018","PDT000103528.2","WA"
"beef",3,11,"USA","CFSAN038695","PDT000105750.2","WI"
"dairy",0,1,"USA","CFSAN010068","PDT000105856.2","MD"
"water",0,23,"USA","CFSAN003424","PDT000102686.3","NY"
"beef",28,36,"USA","CFSAN004306","PDT000102694.3","OK"
"pork",35,22,"USA","CFSAN004327","PDT000102702.3","NJ"
"beans",1,1,"USA","CFSAN003418","PDT000102715.3","CT"
"beef",16,20,"USA","CFSAN004322","PDT000102723.3","FL"
"pork",5,11,"USA","CFSAN004334","PDT000102724.3","HI"
"dairy",3,7,"USA","CFSAN044522","PDT000102964.2","WA"
"dairy",4,9,"USA","CFSAN044524","PDT000103284.2","WA"
"dairy",1,5,"USA","CFSAN044525","PDT000103285.2","WA"
"dairy",3,6,"USA","CFSAN044527","PDT000103287.2","WA"
"dairy",0,11,"USA","CFSAN044530","PDT000103290.2","WA"
"dairy",0,4,"USA","CFSAN044531","PDT000103291.2","WA"
"dairy",1,4,"USA","CFSAN044533","PDT000103293.2","WA"
"dairy",0,4,"USA","CFSAN044536","PDT000103296.2","WA"
"dairy",3,14,"USA","FDA427426-1","PDT000107221.2","NY"
"dairy",3,14,"USA","FDA427426-2","PDT000107222.2","NY"
"dairy",2,20,"USA","FDA427423 Ox","PDT000107223.2","NY"
"dairy",1,18,"USA","FDA427423 Pal","PDT000107224.2","NY"
"dairy",0,19,"USA","FDA427428 Pal","PDT000107225.2","NY"
"dairy",3,22,"USA","FDA427428 Ox","PDT000107226.2","NY"
"dairy",0,19,"USA","FDA427424","PDT000107227.2","NY"
"dairy",1,2,"USA","FDA574834-3","PDT000107229.2","NJ"
"dairy",1,2,"USA","FDA574834-7","PDT000107230.2","NJ"
"dairy",5,6,"USA","FDA574834-8","PDT000107231.2","NJ"
"dairy",1,1,"USA","FDA574834-9","PDT000107232.2","NJ"
"dairy",0,11,"USA","CFSAN044548","PDT000103349.2","WA"
"dairy",0,4,"USA","CFSAN044549","PDT000103350.2","WA"
"dairy",0,4,"USA","CFSAN044550","PDT000103351.2","WA"
"dairy",0,11,"USA","CFSAN044551","PDT000103352.2","WA"
"dairy",0,11,"USA","CFSAN044552","PDT000103353.2","WA"
"dairy",0,4,"USA","CFSAN044553","PDT000103354.2","WA"
"dairy",3,7,"USA","CFSAN044545","PDT000103358.2","WA"
"pork",3,20,"USA","CFSAN004326","PDT000102668.3","CA"
"pork",0,9,"USA","CFSAN004310","PDT000102673.3","NC"
"chicken",14,17,"USA","CFSAN004314","PDT000102678.3","NC"
"pork",20,42,"USA","CFSAN004315","PDT000102679.3","PR"
"dairy",0,4,"USA","CFSAN044537","PDT000103297.2","WA"
"dairy",2,6,"USA","CFSAN044546","PDT000103304.2","WA"
"dairy",3,7,"USA","CFSAN044547","PDT000103305.2","WA"
"beef",2,22,"USA","FLAG-45547","PDT000150728.2","FL"
"pork",0,25,"USA","FLAG-45546","PDT000150729.2","FL"
"dairy",2,3,"USA","FLAG-45474","PDT000150731.2","FL"
"fish",2,22,"USA","FLAG-45452","PDT000150732.2","FL"
"fish",2,20,"USA","FLAG-45066","PDT000150733.2","FL"
"pork",1,6,"USA","FLAG-44314","PDT000150734.2","FL"
"beef",9,25,"USA","NRRL B-57115","PDT000150844.1","IL"
"pork",6,21,"USA","FLAG-46050","PDT000152966.2","FL"
"beef",2,24,"USA","FLAG-46049","PDT000152967.2","FL"
"pork",0,25,"USA","FLAG-46048","PDT000152968.2","FL"
"pork",0,5,"USA","FLAG-39609","PDT000152973.2","FL"
"beef",19,17,"USA","FLAG-39481","PDT000152977.2","FL"
"chicken",0,5,"USA","FLAG-38793","PDT000152978.2","FL"
"dairy",6,28,"USA","FLAG-39414","PDT000152979.2","FL"
"pork",27,56,"USA","FLAG-20247","PDT000152980.3","FL"
"fish",13,18,"USA","FLAG-37600","PDT000153313.2","FL"
"beef",0,27,"USA","FLAG-36345","PDT000153316.2","FL"
"beef",18,32,"USA","FLAG-36711","PDT000153317.2","FL"
"pork",3,6,"USA","FLAG-35269","PDT000153318.2","FL"
"beef",0,10,"USA","FLAG-40210","PDT000153321.2","FL"
"fish",1,23,"USA","FLAG-40239","PDT000153322.2","FL"
"pork",3,6,"USA","FLAG-35805","PDT000153323.2","FL"
"pork",0,5,"USA","FLAG-37507","PDT000153327.2","FL"
"fish",1,22,"USA","FLAG-40238","PDT000153328.2","FL"
"pork",3,8,"USA","FLAG-35804","PDT000153330.2","FL"
"pork",0,5,"USA","FLAG-37505","PDT000153349.2","FL"
"beef",0,0,"USA","FDA300798-9","PDT000152286.2","TX"
"beef",2,3,"USA","FDA300798-8","PDT000152287.2","TX"
"beef",2,2,"USA","FDA300798-6","PDT000152288.2","TX"
"beef",0,0,"USA","FDA300798-19","PDT000152289.2","TX"
"beef",0,0,"USA","FDA300798-18","PDT000152290.2","TX"
"dairy",3,30,"USA","TX-ACF1601858","PDT000152327.2","TX"
"dairy",1,32,"USA","CFSAN056032","PDT000153361.2","TX"
"pork",0,21,"USA","FLAG-42407","PDT000148606.2","FL"
"pork",0,21,"USA","FLAG-42406","PDT000148607.2","FL"
"pork",0,5,"USA","FLAG-41470","PDT000148610.2","FL"
"pork",1,6,"USA","FLAG-41469","PDT000148611.2","FL"
"chicken",0,5,"USA","FLAG-41463","PDT000148612.2","FL"
"chicken",1,6,"USA","FLAG-41462","PDT000148613.2","FL"
"chicken",0,5,"USA","FLAG-41461","PDT000148614.2","FL"
"dairy",4,28,"USA","C2010001337","PDT000148616.2","MN"
"pork",0,27,"USA","C2004004147","PDT000148620.2","MN"
"dairy",27,23,"USA","17B08124-5","PDT000235877.2","NY"
"avocado",5,0,"USA","CFSAN059051","PDT000236299.2","CO"
"avocado",21,33,"USA","CFSAN059054","PDT000236302.2","CO"
"avocado",26,23,"USA","CFSAN059055","PDT000236303.2","CO"
"avocado",0,26,"USA","CFSAN064044","PDT000236397.2","AZ"
"avocado",21,41,"USA","CFSAN064049","PDT000236407.2","AZ"
"chicken",0,10,"USA","FLAG-20057","PDT000245864.2","FL"
"fish",0,14,"USA","NYAG_09B01327A-1","PDT000238461.2","NY"
"dairy",0,19,"USA","NYAG_09B00813A-1","PDT000238462.2","NY"
"pork",6,6,"USA","FLAG-17089","PDT000247108.2","FL"
"fish",0,10,"USA","FLAG-19347","PDT000247114.2","FL"
"beans",5,24,"USA","FLAG-18515","PDT000247116.2","FL"
"avocado",19,21,"USA","FDA1029338-002-003","PDT000363908.1","FL"
"chicken",2,29,"USA","AG18-0030","PDT000364457.2","OH"
"beef",2,38,"USA","05B10029E-1","PDT000367548.1","NY"
"dairy",7,5,"USA","18B03195-8","PDT000367558.1","NY"
"dairy",7,12,"USA","18B03195-9","PDT000367563.1","NY"
"chicken",2,31,"USA","OH-18-17815-1","PDT000368037.2","OH"
"water",0,17,"USA","FSL N3-0339","PDT000889121.1","NY"
"beef",0,22,"USA","FDA231955 M","PDT000931435.1","CA"
"beef",1,23,"USA","FDA231955 P","PDT000931437.1","CA"
"beef",3,26,"USA","FDA231955 L","PDT000931446.1","CA"
"beef",1,23,"USA","FDA231955 E","PDT000931447.1","CA"
"dairy",1,21,"USA","FDA266332 2-6","PDT000931477.1","CA"
"beef",4,26,"USA","FDA231955 J","PDT000931482.1","CA"
"fish",26,25,"USA","WSDA2","PDT000919389.1","WA"
"water",10,29,"USA","CFSAN093488","PDT000928360.1","CA"
"water",3,20,"USA","RM19818","PDT000926336.1","CA"
"water",2,25,"USA","RM19823","PDT000926338.1","CA"
"avocado",11,12,"USA","CFSAN107835","PDT000892699.1","MN"
"avocado",3,20,"USA","CFSAN107827","PDT000892727.1","WI"
"water",2,16,"USA","FSL N4-0458","PDT000947466.1","NY"
"dairy",3,11,"USA","FLAG-68747","PDT001004694.1","FL"
"fish",3,21,"USA","FDA130260-C001-005","PDT001069409.1","CA"
"dairy",0,15,"USA","21B05607-6","PDT001067553.1","NY"
"dairy",0,15,"USA","21B05607-4","PDT001067633.1","NY"
"dairy",2,21,"USA","FDA1161526-S002-002","PDT001048315.1","TX"
"dairy",2,21,"USA","FDA1161526-S001-001","PDT001048326.1","TX"
"dairy",2,21,"USA","FDA1161526-S003-002","PDT001048397.1","TX"
"dairy",0,21,"USA","AG21-0137","PDT001115347.1","OH"
"dairy",1,22,"USA","AG21-0136","PDT001115348.1","OH"
"dairy",1,22,"USA","AG21-0135","PDT001115349.1","OH"
"dairy",22,18,"USA","AG21-0133","PDT001115351.1","OH"
"water",13,17,"USA","RM19369","PDT001119632.1","CA"
"water",16,21,"USA","RM50493","PDT001119636.1","CA"
"water",5,15,"USA","RM50497","PDT001119637.1","CA"
"water",2,10,"USA","RM50499","PDT001119639.1","CA"
"water",5,15,"USA","RM50494","PDT001119640.1","CA"
"water",4,16,"USA","RM50495","PDT001119645.1","CA"
"water",0,19,"USA","RM50500","PDT001119648.1","CA"
"water",0,17,"USA","RM19373","PDT001119650.1","CA"
